id,name,app_track,ahd_track,type,ahd_loc,ahd_seg,direction
"435",CP-435,,,,,,
"436",CP-436,,,,,,
"437",CP-437,,,,,,
"438",CP-438,,,,,,
"439",CP-439,,,,,,
"440",CP-440,,,,,,
"441",CP-441,,,,,,
"442",CP-442,,,,,,
"443",CP-443,,,,,,
"444",CP-444,,,,,,
"445",CP-445,,,,,,
"446",CP-446,,,,,,
"447",CP-447,,,,,,
"448",CP-448,,,,,,
"449",CP-449,,,,,,
"450",CP-450,,,,,,
"451",CP-451,,,,,,
"452",CP-452,,,,,,
"453",CP-453,,,,,,
"454",CP-454,,,,,,
"455",CP-455,,,,,,
"456",CP-456,,,,,,
"457",CP-457,,,,,,
"458",CP-458,,,,,,
"459",CP-459,,,,,,
"460",CP-460,,,,,,
"461",CP-461,,,,,,
"462",CP-462,,,,,,
"463",CP-463,,,,,,
"464",CP-464,MID_3,GC_4,,,,
"465",CP-465,HGL_2,MID_4,,,,
"466",CP-466,,,,,,
"467",CP-467,,,,,,
"468",CP-468,,,,,,
"469",CP-469,,,,,,
"470",CP-470,,,,,,
"471",CP-471,,,,,,
"472",CP-472,,,,,,
"473",CP-473,,,,,,
"474",CP-474,,,,,,
"475",CP-475,,,,,,
"476",CP-476,,,,,,
"477",CP-477,,,,,,
"478",CP-478,,,,,,
"479",CP-479,,,,,,
"480",CP-480,,,,,,
"481",CP-481,,,,,,
"482",CP-482,,,,,,
"483",CP-483,,,,,,
"484",CP-484,,,,,,
"485",CP-485,,,,,,
"486",CP-486,,,,,,
"487",CP-487,,,,,,
"488",CP-488,,,,,,
"489",CP-489,,,,,,
"490",CP-490,,,,,,
"491",CP-491,,,,,,
"492",CP-492,,,,,,
"493",CP-493,,,,,,
"494",CP-494,,,,,,
"495",CP-495,,,,,,
"496",CP-496,,,,,,
"497",CP-497,,,,,,
"498",CP-498,,,,,,
"499",CP-499,,,,,,
"500",CP-500,,,,,,
"501",CP-501,,,,,,
"502",CP-502,,,,,,
"503",CP-503,,,,,,
"504",CP-504,,,,,,
"505",CP-505,,,,,,
"506",CP-506,,,,,,
"507",CP-507,,,,,,
"508",CP-508,,,,,,
"509",CP-509,,,,,,
"510",CP-510,,,,,,
"511",CP-511,,,,,,
"512",CP-512,,,,,,
"513",CP-513,,,,,,
"514",CP-514,,,,,,
"515",CP-515,,,,,,
"516",CP-516,,,,,,
"517",CP-517,,,,,,
"518",CP-518,,,,,,
"519",CP-519,,,,,,
"520",CP-520,,,,,,
"521",CP-521,,,,,,
"522",CP-522,,,,,,
"523",CP-523,,,,,,
"524",CP-524,,,,,,
"525",CP-525,,,,,,
"526",CP-526,,,,,,
"527",CP-527,,,,,,
"528",CP-528,,,,,,
"529",CP-529,,,,,,
"530",CP-530,,,,,,
"531",CP-531,,,,,,
"532",CP-532,,,,,,
"533",CP-533,,,,,,
"534",CP-534,,,,,,
"535",CP-535,,,,,,
"536",CP-536,,,,,,
"537",CP-537,,,,,,
"538",CP-538,,,,,,
"539",CP-539,,,,,,
"540",CP-540,,,,,,
"541",CP-541,,,,,,
"542",CP-542,,,,,,
"543",CP-543,,,,,,
"544",CP-544,,,,,,
"545",CP-545,,,,,,
"546",CP-546,,,,,,
"547",CP-547,,,,,,
"548",CP-548,,,,,,
"549",CP-549,,,,,,
"550",CP-550,,,,,,
"551",CP-551,,,,,,
"552",CP-552,,,,,,
"553",CP-553,,,,,,
"554",CP-554,,,,,,
"555",CP-555,,,,,,
"556",CP-556,,,,,,
"557",CP-557,,,,,,
"558",CP-558,,,,,,
"559",CP-559,,,,,,
"560",CP-560,,,,,,
"561",CP-561,,,,,,
"562",CP-562,,,,,,
"563",CP-563,,,,,,
"564",CP-564,,,,,,
"565",CP-565,,,,,,
"566",CP-566,,,,,,
"567",CP-567,,,,,,
"568",CP-568,,,,,,
"569",CP-569,,,,,,
"570",CP-570,,,,,,
"571",CP-571,,,,,,
"572",CP-572,,,,,,
"573",CP-573,,,,,,
"574",CP-574,,,,,,
