Track_num,Section_id,Symmetry_id,radius,Curve_direction,Curve_degree,Cant,length,Track_segment,length,Track_id,Start_location,End_location
1,916,,,,0,,43.973,2,43.973,STA_GC_1,88.323,132.296
1,920,,,,0,,44.159,0,44.159,STA_GC_1,0,44.159
1,921,,,,0,,44.164,1,44.164,STA_GC_1,44.159,88.323
1,935,,,,0,,131.928,3,131.928,STA_GC_1,132.296,264.224
1,938,,,,0,,43.973,5,43.973,STA_GC_1,308.207,352.18
1,946,,,,0,,43.983,4,43.983,STA_GC_1,264.224,308.207
1,951,,,,0,,85.01,7,85.01,STA_GC_1,451.014,536.024
1,1053,,,,0,,24.219,9,24.219,STA_GC_1,704.307,728.526
1,1054,,,,0,,168.283,8,168.283,STA_GC_1,536.024,704.307
1,1163,,,,0,,98.834,6,98.834,STA_GC_1,352.18,451.014
2,1242,,582,1,3,7,220.256,5,220.256,GC_2,3092.335,3312.591
1,1243,,,,0,,385.207,20,385.207,GC_1,9787.956,10173.163
1,1261,,,,0,,712.521,22,712.521,GC_1,10394.768,11107.289
2,1361,,,,0,,470.575,15,470.575,GC_2,10607.077,11077.652
3,1364,,179,1,9.77,7,115.254,2,115.254,PROV_3,125.924,241.178
5,1365,,1180,1,1.48,7,53.699,2,53.699,PROV_5,202.244,255.943
10,1367,,,,0,,200.585,1,200.585,STA_TH_10,57.495,258.08
2,1369,,,,0,,928.289,44,928.289,HGL_2,23428.867,24357.156
8,1370,,,,0,,222.817,2,222.817,STA_TH_8,672.721,895.538
10,1386,,,,0,,531.445,2,531.445,STA_TH_10,258.08,789.525
8,1387,,,,0,,530.891,3,530.891,STA_TH_8,895.538,1426.429
3,1396,,,,0,,54.178,0,54.178,BOS_3,0,54.178
1,1414,,3493,1,0.5,7,642.401,5,642.401,NJ_1,7763.228,8405.629
9,1427,,,,0,,82.206,1,82.206,STA_SS_9,387.318,469.524
9,1428,,,,0,,20.263,3,20.263,STA_SS_9,490.513,510.776
2,1430,,,,0,,222.802,52,222.802,HGL_2,25066.69,25289.492
5,1431,,1164,1,1.5,7,492.722,0,492.722,ELI_5,0,492.722
1,1432,,1091,1,1.6,7,78.395,78,78.395,BOS_1,68937.096,69015.491
2,1434,,,,0,,83.094,50,83.094,HGL_2,24979.689,25062.783
9,1439,,,,0,,20.989,2,20.989,STA_SS_9,469.524,490.513
7,1443,,179,1,9.77,7,106.747,5,106.747,PROV_7,522.203,628.95
8,1449,,,,0,,62.779,4,62.779,STA_TH_8,1426.429,1489.208
8,1455,,,,0,,27.252,1,27.252,STA_TH_8,645.469,672.721
10,1458,,,,0,,57.495,0,57.495,STA_TH_10,0,57.495
7,1462,,,,0,,125.206,1,125.206,PROV_7,114.204,239.41
4,1463,,,,0,,1357.435,1,1357.435,ATT_4,4744.093,6101.528
1,1467,,,,0,,214.902,100,214.902,PENN_1,116046.735,116261.637
2,1469,,,,0,,107.203,0,107.203,SO_2,0,107.203
9,1474,,,,0,,93.293,4,93.293,STA_SS_9,510.776,604.069
3,1475,,,,0,,568.329,12,568.329,GC_3,5916.448,6484.777
1,1477,,401,1,4.35,7,258.837,0,258.837,NH_1,0,258.837
3,1479,,,,0,,321.156,0,321.156,CCT_3,0,321.156
3,1482,,805,1,2.17,7,328.977,14,328.977,GC_3,6711.004,7039.981
5,1515,,,,0,,96.14,4,96.14,STA_PSNY_5,658.9,755.04
5,1516,,,,0,,153.06,1,153.06,STA_PSNY_5,40.08,193.14
2,1519,,1164,1,1.5,7,510.58,57,510.58,HGL_2,27018.919,27529.499
2,1530,,,,0,,1129.15,60,1129.15,HGL_2,29345.351,30474.501
6,1531,,,,0,,435.446,1,435.446,STA_PSNY_6,152.787,588.233
2,1569,,,,0,,84.552,61,84.552,HGL_2,30474.501,30559.053
6,1576,,,,0,,96.934,3,96.934,STA_PSNY_6,617.713,714.647
6,1591,,,,0,,29.48,2,29.48,STA_PSNY_6,588.233,617.713
5,1610,,,,0,,40.08,0,40.08,STA_PSNY_5,0,40.08
5,1621,,,,0,,39.485,3,39.485,STA_PSNY_5,619.415,658.9
2,1626,,,,0,,56.765,48,56.765,HGL_2,24650.257,24707.022
2,1629,,,,0,,6.249,45,6.249,HGL_2,24357.156,24363.405
2,1632,,,,0,,272.667,49,272.667,HGL_2,24707.022,24979.689
5,1639,,,,0,,426.275,2,426.275,STA_PSNY_5,193.14,619.415
6,1640,,,,0,,152.787,0,152.787,STA_PSNY_6,0,152.787
3,1645,,558,1,3.13,7,290.858,9,290.858,MN_3,2678.67,2969.528
1,1646,,1397,1,1.25,7,281.157,4,281.157,NH_1,2533.283,2814.44
1,1647,,,,0,,1422.83,5,1422.83,NH_1,2814.44,4237.27
1,1648,,873,1,2,7,332.746,6,332.746,NH_1,4237.27,4570.016
1,1649,,,,0,,594.551,7,594.551,NH_1,4570.016,5164.567
1,1650,,1746,1,1,7,851.583,8,851.583,NH_1,5164.567,6016.15
1,1651,,,,0,,3083.72,9,3083.72,NH_1,6016.15,9099.87
1,1652,,3493,1,0.5,7,269.332,10,269.332,NH_1,9099.87,9369.202
1,1653,,,,0,,1500.271,11,1500.271,NH_1,9369.202,10869.473
1,1654,,1397,1,1.25,7,861.745,14,861.745,NH_1,12384.18,13245.925
1,1655,,,,0,,882.208,15,882.208,NH_1,13245.925,14128.133
1,1656,,582,1,3,7,843.859,17,843.859,NH_1,14252.624,15096.483
1,1657,,,,0,,341.898,18,341.898,NH_1,15096.483,15438.381
1,1658,,1027,1,1.7,7,309.933,19,309.933,NH_1,15438.381,15748.314
1,1659,,,,0,,537.541,20,537.541,NH_1,15748.314,16285.855
1,1660,,1563,1,1.117,7,355.807,21,355.807,NH_1,16285.855,16641.662
