Stop_name,Min_dwell,Max_dwell,Stop_id,Turn_time,Capacity,Stop_loc,East_bound_1,West_bound_1,Is_turn,Length,Track_1,Max_speed
NorthElizabeth_4,60,60,234,30,1,108.5,7944.397,8048.96,1,217,PENN_4,1
NorthPhiladelphia_1,60,60,325,30,1,107.5,121976.358,122253.021,1,215,PENN_1,1
NorthPhiladelphia_2,60,60,113,30,1,107.5,125244.299,125473.126,1,215,PENN_2,1
NorthPhiladelphia_4,60,60,112,30,1,107.5,123076.206,123204.031,1,215,PENN_4,1
Norwood_1,60,60,127,30,1,68,,,1,136,CYN_1,1
Norwood_4,60,60,253,30,1,70.5,10758.667,11313.39,1,141,DAR_4,1
NYPenn_1,180,60,160,30,1,180,,,1,360,STA_PSNY_1,1
NYPenn_10,180,60,330,30,1,176.5,,,1,353,STA_PSNY_10,1
NYPenn_11,180,60,331,30,1,136,,,1,272,STA_PSNY_11,1
NYPenn_12,180,60,165,30,1,136,,,1,272,STA_PSNY_12,1
NYPenn_2,180,60,326,30,1,180,,,1,360,STA_PSNY_2,1
NYPenn_3,180,60,161,30,1,232.5,,,1,465,STA_PSNY_3,1
NYPenn_4,180,60,327,30,1,232.5,,,1,465,STA_PSNY_4,1
NYPenn_5,180,60,328,180,1,231,194,488,1,462,STA_PSNY_5,1
NYPenn_6,180,60,162,30,1,231,,,1,462,STA_PSNY_6,1
NYPenn_7,180,60,163,30,1,232.5,,,1,465,STA_PSNY_7,1
NYPenn_8,180,60,329,30,1,232.5,,,1,465,STA_PSNY_8,1
NYPenn_9,180,60,164,30,1,176.5,,,1,353,STA_PSNY_9,1
Odenton_1,60,60,36,30,1,121.5,24869.897,25247.618,1,243,SO_1,1
Odenton_3,60,60,37,30,1,106.5,179515.459,180013.681,1,213,SO_3,1
OldGreenwich_4,60,60,138,30,1,137,65355.527,65618.514,1,274,MID_4,1
OldGreenwich_5,60,60,139,30,1,137,5068.702,5369.055,1,274,MID_5,1
OldSaybrook_1,60,60,335,30,1,36.5,198221.466,198555.407,1,73,BOS_1,1
OldSaybrook_2,60,60,96,30,1,33,198225.819,198387.177,1,66,BOS_2,1
OldSaybrook_3,60,60,95,30,1,36.5,1549.624,1774.013,1,73,SAY_3,1
Parkchester_3,60,60,316,30,1,165,4089.249,4408.867,1,330,PSA_3,1
Parkchester_4,60,60,227,30,1,165,,,1,330,PSA_4,1
Pawtucket_1,60,60,190,30,1,121.5,63218.073,63620.061,1,243,BOS_1,1
Pawtucket_2,60,60,191,30,1,121.5,63264.635,63606.998,1,243,BOS_2,1
Pelham_3,60,60,217,30,1,130,1849.76,2586.75,1,260,GC_3,1
Pelham_4,60,60,216,30,1,130,1842.42,2590.209,1,260,GC_4,1
PennMedicine_6,60,60,297,30,1,68,826.283,914.585,1,136,WA_6,1
PennMedicine_7,60,60,84,30,1,68,831.147,931.845,1,136,WA_7,1
Perryville,60,60,49,30,1,53,,,1,106,PER_4,1
PortChester_3,60,60,211,30,1,129.5,1505.589,3045.479,1,259,MID_3,1
PortChester_4,60,60,210,30,1,129.5,74640.208,76168.888,1,259,MID_4,1
PrincetonJunction_1,60,60,67,30,1,159,61605.934,66219.598,1,318,PENN_1,1
PrincetonJunction_4,60,60,66,30,1,159,62776.33,67308.136,1,318,PENN_4,1
ProspectPark_1,60,60,120,30,1,60,,,1,120,CYN_1,1
ProspectPark_4,60,60,119,30,1,80,11486.313,11841.755,1,160,DAR_4,1
Providence_1,60,60,322,30,1,166,69332.111,69470.616,1,332,BOS_1,1
Providence_2,60,60,265,30,1,166,69613.634,69664.219,1,332,BOS_2,1
Providence_3,60,60,321,30,1,166,679.665,723.962,1,332,PROV_3,1
Providence_5,60,60,264,30,1,166,543.908,587.812,1,332,PROV_5,1
Rahway_4,60,60,108,30,1,129,18042.035,18378.806,1,258,PENN_4,1
Rahway_A,60,60,109,30,1,97.5,7342.148,7559.315,1,195,RAH_A,1
Rahway_B,60,60,337,30,1,129,7184.315,7355.389,1,258,LIN_B,1
RidleyPark_1,60,60,117,30,1,59,,,1,118,CYN_1,1
RidleyPark_4,60,60,116,30,1,59,12915.145,13174.845,1,118,DAR_4,1
Riverside_4,60,60,155,30,1,78,67074.673,67251.169,1,156,MID_4,1
Riverside_5,60,60,154,30,1,78,6842.001,6998.672,1,156,MID_5,1
Route128_1,60,60,6,30,1,160.5,18300,19814.973,1,321,BOS_1,1
Route128_2,60,60,5,30,1,200,18207.645,19796.41,1,400,BOS_2,1
Rowayton_3,60,60,81,30,1,78,35191.442,35385.098,1,156,CCT_3,1
Rowayton_4,60,60,80,30,1,100,52804.031,52977.217,1,200,MID_4,1
Ruggles_1,60,60,323,30,1,159,3012.901,3576.899,1,318,BOS_1,1
Ruggles_2,60,60,10,30,1,121,2893.195,3559.762,1,242,BOS_2,1
Ruggles_3,60,60,266,30,1,159,3288.736,3433.019,1,318,BOS_3,1
Rye_3,60,60,212,30,1,125,3825.677,4286.998,1,250,MID_3,1
Rye_4,60,60,213,30,1,125,76867.826,76953.761,1,250,MID_4,1
Seabrook,60,60,35,30,1,38,42718.502,43547.63,1,76,SO_1,1
Seabrook_3,60,60,32,30,1,38,197432.39,198292.116,1,76,SO_3,1
SeacaucusJunction_1,60,60,229,30,1,182,7202.42,7763.228,1,364,NJ_1,1
SeacaucusJunction_2,60,60,231,30,1,182,7208.676,7635.281,1,364,NJ_2,1
SeacaucusJunction_3,60,60,318,30,1,182,1479.517,1685.112,1,364,JC_3,1
SeacaucusJunction_4,60,60,230,30,1,182,431.344,612.459,1,364,JC_4,1
Sharon_1,60,60,198,30,1,117.5,28549.815,28918.069,1,235,BOS_1,1
Sharon_2,60,60,197,30,1,117.5,28553.794,28900.081,1,235,BOS_2,1
SharonHill_1,60,60,143,30,1,48,,,1,96,CYN_1,1
SharonHill_4,60,60,142,30,1,70,7771.654,8248.986,1,140,DAR_4,1
SouthAttleboro_1,60,60,58,30,1,128.5,59035.772,61016.139,1,257,BOS_1,1
SouthAttleboro_2,60,60,59,30,1,128.5,59021.586,61001.948,1,257,BOS_2,1
SouthNorwalk_3,60,60,205,30,1,129,32251.93,32519.177,1,258,CCT_3,1
SouthNorwalk_4,60,60,204,30,1,129,49826.811,49948.822,1,258,MID_4,1
Southport_3,60,60,89,30,1,52,19604.138,19727.39,1,104,CCT_3,1
Southport_4,60,60,88,30,1,50,36987.77,37300.654,1,100,MID_4,1
SouthStation_1,60,60,16,30,1,108,,,1,216,STA_SS_1,1
SouthStation_10,60,60,276,30,1,160,,,1,320,STA_SS_10,1
SouthStation_11,60,60,13,30,1,160,,,1,320,STA_SS_11,1
SouthStation_12,60,60,14,30,1,103.5,,,1,207,STA_SS_12,1
SouthStation_13,60,60,277,30,1,103.5,,,1,207,STA_SS_13,1
SouthStation_2,60,60,278,30,1,108,,,1,216,STA_SS_2,1
SouthStation_3,60,60,17,30,1,108,,,1,216,STA_SS_3,1
SouthStation_4,60,60,279,30,1,137,,,1,274,STA_SS_4,1
SouthStation_5,60,60,18,30,1,137,,,1,274,STA_SS_5,1
SouthStation_6,60,60,274,30,1,149,,,1,298,STA_SS_6,1
SouthStation_7,60,60,11,30,1,149,146.783,387.395,1,298,STA_SS_7,1
SouthStation_8,60,60,275,30,1,161.5,,,1,323,STA_SS_8,1
SouthStation_9,60,60,12,30,1,161.5,142.993,378.09,1,323,STA_SS_9,1
Stamford_2,60,60,296,30,1,155.5,63538.406,63835.863,1,311,MN_2,1
Stamford_3,60,60,82,30,1,155.5,45063.471,45346.098,1,311,CCT_3,1
Stamford_4,60,60,83,30,1,155.5,62637.148,62786.28,1,311,MID_4,1
Stamford_5,60,60,295,30,1,155.5,2537.647,2691.433,1,311,MID_5,1
Stratford_3,60,60,74,30,1,51.5,3226.582,4272.756,1,103,CCT_3,1
Stratford_4,60,60,75,30,1,52.5,20798.011,21863.009,1,105,MID_4,1
Tacony_1,60,60,183,30,1,7.5,111137.108,111617.171,1,15,PENN_1,1
Tacony_4,60,60,170,30,1,37,112239.249,112719.276,1,74,PENN_4,1
TFGreenAirport,60,60,195,30,1,126,14216.95,16590.321,1,252,PROV_3,1
Torresdale_1,60,60,136,30,1,80.5,105362.626,105462.724,1,161,PENN_1,1
Torresdale_4,60,60,137,30,1,67.5,106467.509,106569.186,1,135,PENN_4,1
Tremont_3,60,60,131,30,1,28,13680.802,15527.677,1,56,GC_3,1
Tremont_4,60,60,130,30,1,28,13710.589,15557.379,1,56,GC_4,1
Trenton_1,60,60,115,30,1,144,76981.484,77134.943,1,288,PENN_1,1
Trenton_4,60,60,114,30,1,161,78013.046,78329.467,1,322,PENN_4,1
WashUnion_1,60,60,22,30,1,111.5,476.784,597.895,1,223,STA_DCU_1,1
WashUnion_10,60,60,289,30,1,129,,,1,258,STA_DCU_10,1
WashUnion_11,60,60,26,30,1,124,,,1,248,STA_DCU_11,1
WashUnion_12,60,60,24,30,1,109,,,1,218,STA_DCU_12,1
WashUnion_12,60,60,286,30,1,124,,,1,248,STA_DCU_12,1
WashUnion_13,60,60,284,30,1,109,406.903,461.105,1,218,STA_DCU_13,1
WashUnion_15,60,60,28,30,1,131.5,,,1,263,STA_DCU_15,1
WashUnion_16,60,60,288,30,1,131.5,,,1,263,STA_DCU_16,1
WashUnion_17,60,60,27,30,1,131.5,,,1,263,STA_DCU_17,1
WashUnion_18,60,60,287,30,1,131.5,,,1,263,STA_DCU_18,1
WashUnion_19,60,60,290,30,1,125,,,1,250,STA_DCU_19,1
WashUnion_2,60,60,283,30,1,111.5,,,1,223,STA_DCU_2,1
WashUnion_20,60,60,30,30,1,125,,,1,250,STA_DCU_20,1
WashUnion_21,60,60,25,30,1,113,,,1,226,STA_DCU_21,1
WashUnion_22,60,60,285,30,1,113,,,1,226,STA_DCU_22,1
WashUnion_3,60,60,336,30,1,131.5,,,1,263,STA_DCU_3,1
WashUnion_4,60,60,99,30,1,131.5,,,1,263,STA_DCU_4,1
WashUnion_5,60,60,100,30,1,181,,,1,362,STA_DCU_5,1
WashUnion_6,60,60,299,30,1,181,,,1,362,STA_DCU_6,1
WashUnion_7,60,60,101,30,1,117,,,1,234,STA_DCU_7,1
WashUnion_8,60,60,300,30,1,117,,,1,234,STA_DCU_8,1
WashUnion_9,60,60,29,30,1,129,,,1,258,STA_DCU_9,1
WestBaltimore_3,60,60,41,30,1,16,155341.375,155471.817,1,32,SO_3,1
WestBaltimore_A,60,60,40,30,1,16,,,1,32,SO_A,1
Westbrook_1,60,60,172,30,1,31,204377.978,204697.48,1,62,BOS_1,1
Westbrook_2,60,60,173,30,1,31,204384.305,204701.721,1,62,BOS_2,1
Westerly_1,60,60,132,30,1,68,139903.76,140452.702,1,136,BOS_1,1
Westerly_2,60,60,133,30,1,83,139886.955,140440.971,1,166,BOS_2,1
WestHaven_3,60,60,199,30,1,162.5,6901.701,7245.508,1,325,MN_3,1
WestHaven_4,60,60,200,30,1,162.5,3996.793,4340.755,1,325,MID_4,1
Westport_3,60,60,104,30,1,130.5,27196.749,27355.128,1,261,CCT_3,1
Westport_4,60,60,105,30,1,130.5,44777.935,44946.702,1,261,MID_4,1
WickfordJunction,60,60,196,30,1,180,953.525,1133.367,1,360,WCK_3,1
WilliamsBridge_3,60,60,220,30,1,54.5,9219.187,9482.419,1,109,GC_3,1
WilliamsBridge_4,60,60,221,30,1,64,9381.319,9512.412,1,128,GC_4,1
Wilmington_1,60,60,188,30,1,163.5,353.894,425.684,1,327,WIL_1,1
Wilmington_2,60,60,292,30,1,156.5,40924.092,41120.927,1,313,SO_2,1
Wilmington_3,60,60,50,30,1,156.5,40708.59,40807.178,1,313,SO_3,1
