Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
2,330,0.5,1,7,,736.684,CNBY,CNBY_2,91920.982,92657.666,45
1,331,0,,,,1208.591,CNBY,CNBY_1,90716.531,91925.122,44
2,332,0,,,,1209.778,CNBY,CNBY_2,90711.204,91920.982,44
1,333,0,,,,1109.438,CNBY,CNBY_1,88692.246,89801.684,42
2,334,0,,,,1108.557,CNBY,CNBY_2,88687.799,89796.356,42
1,335,0.5,1,7,,914.847,CNBY,CNBY_1,89801.684,90716.531,43
2,336,0.5,1,7,,914.848,CNBY,CNBY_2,89796.356,90711.204,43
2,337,0.5,1,7,,670.903,CNBY,CNBY_2,88016.896,88687.799,41
1,338,0.5,1,7,,670.902,CNBY,CNBY_1,88021.344,88692.246,41
1,339,0,,,,3448.668,CNBY,CNBY_1,84572.676,88021.344,40
2,340,0,,,,3449.422,CNBY,CNBY_2,84567.474,88016.896,40
2,341,0.5,1,7,,853.826,CNBY,CNBY_2,83713.648,84567.474,39
1,342,0.5,1,7,,853.826,CNBY,CNBY_1,83718.85,84572.676,39
1,343,0,,,,305.456,CNBY,CNBY_1,83413.394,83718.85,38
2,344,0,,,,304.838,CNBY,CNBY_2,83408.81,83713.648,38
1,345,0,,,,3158.405,CNBY,CNBY_1,78180.269,81338.674,36
2,346,0,,,,3158.252,CNBY,CNBY_2,78175.838,81334.09,36
1,347,0.37,1,7,,2074.72,CNBY,CNBY_1,81338.674,83413.394,37
2,348,0.37,1,7,,2074.72,CNBY,CNBY_2,81334.09,83408.81,37
2,349,0.32,1,7,,3553.841,CNBY,CNBY_2,74621.997,78175.838,35
1,350,0.32,1,7,,3553.84,CNBY,CNBY_1,74626.429,78180.269,35
1,351,0,,,,1973.549,CNBY,CNBY_1,72652.88,74626.429,34
2,352,0,,,,1974.424,CNBY,CNBY_2,72647.573,74621.997,34
1,353,0,,,,539.492,CNBY,CNBY_1,71323.584,71863.076,32
2,354,0,,,,541.034,CNBY,CNBY_2,71316.735,71857.769,32
2,355,0.58,1,7,,789.804,CNBY,CNBY_2,71857.769,72647.573,33
1,356,0.58,1,7,,789.804,CNBY,CNBY_1,71863.076,72652.88,33
1,357,0,,,,927.684,CNBY,CNBY_1,66065.251,66992.935,30
2,358,0,,,,923.618,CNBY,CNBY_2,66062.467,66986.085,30
