Track_num,Section_id,Curve_degree,Curve_direction,Cant,length,Section,Track_id,Max_speed,Start_loc,End_loc,Track_segment
2,4131,0,,,147.32,SO,SO_2,,79295.888,79443.208,116
3,4132,0.85,1,7,117.626,SO,SO_3,,79336.937,79454.563,114
3,4133,0.85,1,7,1098.508,SO,SO_3,,79454.563,80553.071,115
1,4134,0,,,349.779,WIL,WIL_1,,38451.222,38801.001,46
A,4135,0,,,1342.842,NWK,NWK_A,,,,
2,4136,1.45,1,7,1174.622,SO,SO_2,,77643.76,78818.382,111
1,4137,1.4,1,7,1171.128,WIL,WIL_1,,37152.211,38323.339,44
3,4138,0,,,130.564,SO,SO_3,,78712.204,78842.768,110
2,4139,0,,,1.982,SO,SO_2,,77641.778,77643.76,110
2,4140,0,,,1300.408,SO,SO_2,,76341.37,77641.778,109
1,4141,0,,,1301.962,WIL,WIL_1,,35850.249,37152.211,43
3,4142,1.4,1,7,1178.138,SO,SO_3,,77534.066,78712.204,109
2,4143,1.05,1,7,639.414,SO,SO_2,,75701.956,76341.37,108
1,4144,1,1,7,641.089,WIL,WIL_1,,35209.16,35850.249,42
3,4145,0,,,1298.841,SO,SO_3,,76231.261,77530.102,106
3,4146,0,,,1.982,SO,SO_3,,77530.102,77532.084,107
3,4147,0,,,1.982,SO,SO_3,,77532.084,77534.066,108
2,4148,0,,,2167.848,SO,SO_2,,73534.108,75701.956,107
1,4149,0,,,2167.916,WIL,WIL_1,,33041.244,35209.16,41
3,4150,1.1,1,7,637.761,SO,SO_3,,75593.5,76231.261,105
2,4151,0.95,1,7,887.58,SO,SO_2,,72646.528,73534.108,106
1,4152,1,1,7,889.171,WIL,WIL_1,,32152.073,33041.244,40
3,4153,0,,,2167.763,SO,SO_3,,73425.737,75593.5,104
2,4154,0,,,1423.727,SO,SO_2,,71222.801,72646.528,105
1,4155,0,,,1423.691,WIL,WIL_1,,30728.382,32152.073,39
3,4156,1,1,7,886.005,SO,SO_3,,72539.732,73425.737,103
2,4157,0.55,1,7,927.46,SO,SO_2,,70295.341,71222.801,104
1,4158,0.5,1,7,928.767,WIL,WIL_1,,29799.615,30728.382,38
3,4159,0,,,1423.837,SO,SO_3,,71115.895,72539.732,102
2,4160,0,,,803.948,SO,SO_2,,69491.393,70295.341,103
1,4161,0,,,803.958,WIL,WIL_1,,28995.657,29799.615,37
3,4162,0.6,1,7,925.563,SO,SO_3,,70190.332,71115.895,101
2,4163,0.2,1,7,1463.096,SO,SO_2,,68028.297,69491.393,102
1,4164,0.2,1,7,1464.323,WIL,WIL_1,,27531.334,28995.657,36
3,4165,0,,,803.938,SO,SO_3,,69386.394,70190.332,100
2,4166,0,,,2820.778,SO,SO_2,,65207.519,68028.297,101
1,4167,0,,,2820.582,WIL,WIL_1,,24710.752,27531.334,35
3,4168,0.2,1,7,1461.872,SO,SO_3,,67924.522,69386.394,99
2,4169,0.6,1,7,253.954,SO,SO_2,,64953.565,65207.519,100
1,4170,0.6,1,7,254.219,WIL,WIL_1,,24456.533,24710.752,34
3,4171,0,,,2820.983,SO,SO_3,,65103.539,67924.522,98
2,4172,0,,,1693.806,SO,SO_2,,63259.759,64953.565,99
3,4173,0.6,1,7,253.684,SO,SO_3,,64849.855,65103.539,97
1,4174,0,,,351.741,WIL,WIL_1,,24104.792,24456.533,33
1,4175,0,,,1342.393,WIL,WIL_1,,22762.399,24104.792,32
A,4176,0.52,1,7,2562.499,NWK,NWK_A,,,,
2,4177,0.55,1,7,2568.392,SO,SO_2,,60691.367,63259.759,98
1,4178,0.4,1,7,2566.162,WIL,WIL_1,,20196.237,22762.399,31
3,4179,0,,,1693.481,SO,SO_3,,63156.374,64849.855,96
A,4180,0,,,389.618,NWK,NWK_A,,,,
A,4181,0,,,300.667,NWK,NWK_A,,,,
A,4182,0,,,451.346,NWK,NWK_A,,,,
A,4183,0,,,3157.652,NWK,NWK_A,,,,
2,4184,0,,,791.842,SO,SO_2,,59899.525,60691.367,97
2,4185,0,,,15.127,SO,SO_2,,59884.398,59899.525,96
2,4186,0,,,34.68,SO,SO_2,,59849.718,59884.398,95
2,4187,0,,,84.998,SO,SO_2,,59764.72,59849.718,94
2,4188,0,,,33.584,SO,SO_2,,59731.136,59764.72,93
2,4189,0,,,111.085,SO,SO_2,,59620.051,59731.136,92
2,4190,0,,,9.684,SO,SO_2,,59610.367,59620.051,91
2,4191,0,,,18.285,SO,SO_2,,59592.082,59610.367,90
2,4192,0,,,3210.423,SO,SO_2,,56381.659,59592.082,89
2,4193,0,,,414.664,SO,SO_2,,55966.995,56381.659,88
1,4194,0,,,701.015,WIL,WIL_1,,19495.222,20196.237,30
1,4195,0,,,94.158,WIL,WIL_1,,19401.064,19495.222,29
1,4196,0,,,34.998,WIL,WIL_1,,19366.066,19401.064,28
1,4197,0,,,229.028,WIL,WIL_1,,19137.038,19366.066,27
1,4198,0,,,28.177,WIL,WIL_1,,19108.861,19137.038,26
1,4199,0,,,65.894,WIL,WIL_1,,19042.967,19108.861,25
1,4200,0,,,3145.176,WIL,WIL_1,,15897.791,19042.967,24
1,4201,0,,,425.705,WIL,WIL_1,,15472.086,15897.791,23
3,4202,0.5,1,7,2570.578,SO,SO_3,,60585.796,63156.374,95
2,4203,0.2,1,7,524.957,SO,SO_2,,55442.038,55966.995,87
1,4204,0.1,1,7,525.278,WIL,WIL_1,,14946.808,15472.086,22
3,4205,0,,,3544.636,SO,SO_3,,55860.538,59405.174,87
3,4206,0,,,88.932,SO,SO_3,,59405.174,59494.106,88
3,4207,0,,,118.31,SO,SO_3,,59494.106,59612.416,89
3,4208,0,,,34.203,SO,SO_3,,59612.416,59646.619,90
3,4209,0,,,135.176,SO,SO_3,,59646.619,59781.795,91
3,4210,0,,,111.887,SO,SO_3,,59781.795,59893.682,92
3,4211,0,,,291.409,SO,SO_3,,59893.682,60185.091,93
3,4212,0,,,400.705,SO,SO_3,,60185.091,60585.796,94
2,4213,0,,,1840.346,SO,SO_2,,53601.692,55442.038,86
1,4214,0,,,1840.279,WIL,WIL_1,,13106.529,14946.808,21
3,4215,0.2,1,7,525.118,SO,SO_3,,55335.42,55860.538,86
2,4216,0.5,1,7,255.015,SO,SO_2,,53346.677,53601.692,85
1,4217,0.6,1,7,254.994,WIL,WIL_1,,12851.535,13106.529,20
3,4218,0,,,1840.314,SO,SO_3,,53495.106,55335.42,85
2,4219,0,,,1193.088,SO,SO_2,,52153.589,53346.677,84
1,4220,0,,,378.014,WIL,WIL_1,,12473.521,12851.535,19
1,4221,0,,,815.189,WIL,WIL_1,,11658.332,12473.521,18
3,4222,0.5,1,7,255.275,SO,SO_3,,53239.831,53495.106,84
2,4223,0.5,1,7,897.776,SO,SO_2,,51255.813,52153.589,83
1,4224,0.5,1,7,898.503,WIL,WIL_1,,10759.829,11658.332,17
3,4225,0,,,1192.582,SO,SO_3,,52047.249,53239.831,83
2,4226,0,,,339.724,SO,SO_2,,50916.089,51255.813,82
1,4227,0,,,339.691,WIL,WIL_1,,10420.138,10759.829,16
3,4228,0.6,1,7,896.478,SO,SO_3,,51150.771,52047.249,82
2,4229,1.1,1,7,724.521,SO,SO_2,,50191.568,50916.089,81
1,4230,1,1,7,723.752,WIL,WIL_1,,9696.386,10420.138,15
3,4231,0,,,342.807,SO,SO_3,,50807.964,51150.771,81
2,4232,0,,,2016.485,SO,SO_2,,48175.083,50191.568,80
1,4233,0,,,2016.086,WIL,WIL_1,,7680.3,9696.386,14
3,4234,1,1,7,722.941,SO,SO_3,,50085.023,50807.964,80
2,4235,0,,,608.991,SO,SO_2,,46779.067,47388.058,78
1,4236,0,,,608.782,WIL,WIL_1,,6284.755,6893.537,12
3,4237,0.6,1,7,787.864,SO,SO_3,,47280.576,48068.44,78
2,4238,0.6,1,7,787.025,SO,SO_2,,47388.058,48175.083,79
1,4239,0.5,1,7,786.763,WIL,WIL_1,,6893.537,7680.3,13
3,4240,0,,,2016.583,SO,SO_3,,48068.44,50085.023,79
2,4241,1,1,7,841.901,SO,SO_2,,45937.166,46779.067,77
1,4242,1.1,1,7,787.062,WIL,WIL_1,,5497.693,6284.755,11
3,4243,0,,,608.703,SO,SO_3,,46671.873,47280.576,77
2,4244,0,,,55.137,SO,SO_2,,45882.029,45937.166,76
2,4245,0,,,97.758,SO,SO_2,,45784.271,45882.029,75
2,4246,0,,,83.024,SO,SO_2,,45701.247,45784.271,74
2,4247,0,,,148.803,SO,SO_2,,45552.444,45701.247,73
2,4248,0,,,681.196,SO,SO_2,,44871.248,45552.444,72
3,4249,1.1,1,7,840.79,SO,SO_3,,45831.083,46671.873,76
2,4250,0.95,1,7,1164.378,SO,SO_2,,43706.87,44871.248,71
3,4251,0,,,568.222,SO,SO_3,,44765.28,45333.502,72
3,4252,0,,,332.522,SO,SO_3,,45333.502,45666.024,73
3,4253,0,,,126.772,SO,SO_3,,45666.024,45792.796,74
3,4254,0,,,38.287,SO,SO_3,,45792.796,45831.083,75
1,4255,0.95,1,7,1163.841,WIL,WIL_1,,3211.736,4375.577,7
2,4256,0,,,1548.313,SO,SO_2,,42158.557,43706.87,70
1,4257,0,,,1550.277,WIL,WIL_1,,1661.459,3211.736,6
3,4258,0.95,1,7,1162.689,SO,SO_3,,43602.591,44765.28,71
2,4259,3.8,1,7,870.54,SO,SO_2,,41288.017,42158.557,69
1,4260,3.8,1,7,865.061,WIL,WIL_1,,796.398,1661.459,5
3,4261,0,,,1551.726,SO,SO_3,,42050.865,43602.591,70
2,4262,1,1,7,21.171,SO,SO_2,,41266.846,41288.017,68
2,4263,1,1,7,58.184,SO,SO_2,,41208.662,41266.846,67
1,4264,1.7,1,7,19.238,WIL,WIL_1,,777.16,796.398,4
1,4265,1.7,1,7,59.946,WIL,WIL_1,,717.214,777.16,3
3,4266,3.65,1,7,873.305,SO,SO_3,,41177.56,42050.865,69
2,4267,0,,,87.735,SO,SO_2,,41120.927,41208.662,66
2,4268,0,,,196.835,SO,SO_2,,40924.092,41120.927,65
2,4269,0,,,7.055,SO,SO_2,,40917.037,40924.092,64
1,4270,0,,,291.53,WIL,WIL_1,,425.684,717.214,2
3,4271,1,1,7,56.183,SO,SO_3,,41099.015,41155.198,67
3,4272,1,1,7,22.362,SO,SO_3,,41155.198,41177.56,68
2,4273,2.6,1,7,329.875,SO,SO_2,,40587.162,40917.037,63
2,4274,2.6,1,7,94.111,SO,SO_2,,40493.051,40587.162,62
2,4275,2.6,1,7,106.481,SO,SO_2,,40386.57,40493.051,61
1,4276,2.6,1,7,71.79,WIL,WIL_1,,353.894,425.684,1
1,4277,2.6,1,7,353.894,WIL,WIL_1,,0,353.894,0
3,4278,0,,,7.002,SO,SO_3,,40807.178,40814.18,64
3,4279,0,,,193.632,SO,SO_3,,40814.18,41007.812,65
3,4280,0,,,91.203,SO,SO_3,,41007.812,41099.015,66
2,4281,0,,,565.744,SO,SO_2,,39252.318,39818.062,59
2,4282,0,,,320.217,SO,SO_2,,38932.101,39252.318,58
2,4283,0,,,129.15,SO,SO_2,,38802.951,38932.101,57
2,4284,0,,,475.525,SO,SO_2,,38327.426,38802.951,56
3,4285,1.8,1,7,567.499,SO,SO_3,,39713.54,40281.039,58
2,4286,1.6,1,7,568.508,SO,SO_2,,39818.062,40386.57,60
3,4287,3,1,7,99.421,SO,SO_3,,40281.039,40380.46,59
3,4288,3,1,7,3.043,SO,SO_3,,40380.46,40383.503,60
3,4289,3,1,7,92.344,SO,SO_3,,40383.503,40475.847,61
3,4290,3,1,7,232.743,SO,SO_3,,40475.847,40708.59,62
3,4291,3,1,7,98.588,SO,SO_3,,40708.59,40807.178,63
2,4292,0.55,1,7,714.188,SO,SO_2,,37613.238,38327.426,55
1,4293,0.4,1,7,713.654,BEL,BEL_1,,3692.146,4405.8,6
3,4294,0,,,673.789,SO,SO_3,,38224.572,38898.361,55
3,4295,0,,,172.204,SO,SO_3,,38898.361,39070.565,56
3,4296,0,,,642.975,SO,SO_3,,39070.565,39713.54,57
2,4297,0,,,301.667,SO,SO_2,,35947.695,36249.362,53
1,4298,0,,,301.703,BEL,BEL_1,,2027.615,2329.318,4
3,4299,0.5,1,7,1363.449,SO,SO_3,,36143.345,37506.794,53
3,4300,0,,,119.636,SO,SO_3,,30330.372,30450.008,44
3,4301,0,,,33.693,SO,SO_3,,30450.008,30483.701,45
2,4302,0.55,1,7,1363.876,SO,SO_2,,36249.362,37613.238,54
1,4303,0.4,1,7,1362.828,BEL,BEL_1,,2329.318,3692.146,5
3,4304,0.5,1,7,717.778,SO,SO_3,,37506.794,38224.572,54
2,4305,1,1,7,542.114,SO,SO_2,,35405.581,35947.695,52
1,4306,1,1,7,543.402,BEL,BEL_1,,1484.213,2027.615,3
3,4307,0,,,301.468,SO,SO_3,,35841.877,36143.345,52
3,4308,1.6,1,7,730.75,SO,SO_3,,34570.612,35301.362,50
2,4309,0,,,1084.405,SO,SO_2,,33588.628,34673.033,50
1,4310,0,,,644.494,BEL,BEL_1,,104.835,749.329,1
1,4311,0,,,104.835,BEL,BEL_1,,0,104.835,0
2,4312,1.5,1,7,732.548,SO,SO_2,,34673.033,35405.581,51
1,4313,1.5,1,7,734.884,BEL,BEL_1,,749.329,1484.213,2
3,4314,1,1,7,540.515,SO,SO_3,,35301.362,35841.877,51
3,4315,0,,,1084.886,SO,SO_3,,33485.726,34570.612,49
2,4316,0.9,1,7,607.063,SO,SO_2,,32981.565,33588.628,49
2F,4317,1.2,1,7,605.635,BEL,BEL_2F,,2546.905,3152.54,6
1F,4318,1.2,1,7,604.826,BEL,BEL_1F,,2546.154,3150.98,6
2F,4319,0,,,335.829,BEL,BEL_2F,,3152.54,3488.369,7
2F,4320,3,1,7,253.11,BEL,BEL_2F,,2293.795,2546.905,5
1F,4321,3,1,7,252.825,BEL,BEL_1F,,2293.329,2546.154,5
3,4322,1,1,7,612.791,SO,SO_3,,32872.935,33485.726,48
2,4323,0.8,1,7,1221.319,SO,SO_2,,31760.246,32981.565,48
2F,4324,4.8,1,7,158.16,BEL,BEL_2F,,2135.635,2293.795,4
1F,4325,4.8,1,7,158.831,BEL,BEL_1F,,2134.498,2293.329,4
2F,4326,0,,,813.222,BEL,BEL_2F,,1322.413,2135.635,3
1F,4327,0,,,813.198,BEL,BEL_1F,,1321.3,2134.498,3
2F,4328,0.8,1,7,1085.497,BEL,BEL_2F,,236.916,1322.413,2
2F,4329,0.8,1,7,83.497,BEL,BEL_2F,,153.419,236.916,1
1F,4330,0.8,1,7,1084.214,BEL,BEL_1F,,237.086,1321.3,2
1F,4331,0.8,1,7,83.648,BEL,BEL_1F,,153.438,237.086,1
2F,4332,0.8,1,7,153.419,BEL,BEL_2F,,0,153.419,0
1F,4333,0.8,1,7,153.438,BEL,BEL_1F,,0,153.438,0
3,4334,0.8,1,7,1170.029,SO,SO_3,,30483.701,31653.73,46
2,4335,0.4,1,7,513.675,SO,SO_2,,29926.559,30440.234,44
1,4336,0.35,1,7,635.158,CYN,CYN_1,,,,
4,4337,0,,,142.464,DAR,DAR_4,,2283.059,2425.523,5
4,4338,0,,,2496.297,DAR,DAR_4,,2425.523,4921.82,6
2,4339,1,1,7,610.06,SO,SO_2,,29036.387,29646.447,41
1,4340,1,1,7,615.635,CYN,CYN_1,,,,
4,4341,0.1,1,7,249.036,DAR,DAR_4,,27955.307,28204.343,45
3,4342,0.3,1,7,249.13,SO,SO_3,,29538.408,29787.538,41
2,4343,0.2,1,7,251.064,SO,SO_2,,29646.447,29897.511,42
1,4344,0.1,1,7,248.201,CYN,CYN_1,,,,
3,4345,0,,,25.024,SO,SO_3,,29787.538,29812.562,42
4,4346,0,,,25.037,DAR,DAR_4,,28204.343,28229.38,46
2,4347,0,,,29.048,SO,SO_2,,29897.511,29926.559,43
1,4348,0,,,26.664,CYN,CYN_1,,,,
3,4349,0.2,1,7,517.81,SO,SO_3,,29812.562,30330.372,43
4,4350,0.35,1,7,637.533,DAR,DAR_4,,28229.38,28866.913,47
4,4351,1,1,7,617.276,DAR,DAR_4,,27338.031,27955.307,44
2,4352,0,,,1327.419,SO,SO_2,,27708.968,29036.387,40
1,4353,0,,,544.392,CYN,CYN_1,,,,
1,4354,0,,,782.113,CYN,CYN_1,,,,
3,4355,1,1,7,604.284,SO,SO_3,,28934.124,29538.408,40
4,4356,0,,,781.973,DAR,DAR_4,,26017.6,26799.573,42
4,4357,0,,,538.458,DAR,DAR_4,,26799.573,27338.031,43
2,4358,1,1,7,901.177,SO,SO_2,,26807.791,27708.968,39
1,4359,1,1,7,899.981,CYN,CYN_1,,,,
